PA	SP	Score	sentence_num	url
Litigation	Trade Secrets	1	1	http://aalrr.com/attorneys/brigham-m.-cheney
Litigation	Trade Secrets	1	1	http://aalrr.com/attorneys/brigham-m.-cheney
Intellectual Property	Trade Secrets	1	1	http://aalrr.com/attorneys/brigham-m.-cheney
Intellectual Property	Trade Secrets	1	1	http://aalrr.com/attorneys/brigham-m.-cheney
Litigation	Trade Secrets	1	15	http://aalrr.com/attorneys/joseph-n.akrotirianakis
Intellectual Property	Trade Secrets	1	15	http://aalrr.com/attorneys/joseph-n.akrotirianakis
Litigation	Trade Secrets	1	1	http://bannerwitcoff.com/jackerman/
Intellectual Property	Trade Secrets	1	1	http://bannerwitcoff.com/jackerman/
Litigation	Product Liability	1	4	http://aalrr.com/attorneys/w._bryce_chastain
Litigation	Product Liability	1	4	http://aalrr.com/attorneys/w._bryce_chastain
Litigation	Product Liability	1	4	http://aalrr.com/attorneys/w._bryce_chastain
Corporate	Non-Profit	1	11	http://bcr.tv/attorney/bhoghooghi
Corporate	Non-Profit	1	13	http://bcr.tv/attorney/daniel-fisher-owens
Entertainment & Media	Advertising/Marketing	1	3	http://bdlfirm.com/?page_id=272
Corporate	Non-Profit	1	7	http://carlsoncaspers.com/Attorneys/WendyMBratten
Corporate	Non-Profit	1	7	http://carlsoncaspers.com/Attorneys/WendyMBratten
Corporate	Non-Profit	1	12	http://carverdarden.com/attorneys/brettner-jacqueline-m/
Corporate	Non-Profit	1	12	http://carverdarden.com/attorneys/brettner-jacqueline-m/
Corporate	Non-Profit	1	12	http://carverdarden.com/attorneys/brettner-jacqueline-m/
Corporate	Non-Profit	1	12	http://carverdarden.com/attorneys/brettner-jacqueline-m/
Litigation	Trade Secrets	1	8	http://cbshealaw.com/lawyers/mary-e-r-bartholic.php
Intellectual Property	Trade Secrets	1	8	http://cbshealaw.com/lawyers/mary-e-r-bartholic.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Intellectual Property	Trade Secrets	1	2	http://cbshealaw.com/lawyers/thomas-w-witherington.php
Litigation	Product Liability	1	2	http://childsmccune.com/staff/kim-b-childs/
Litigation	Product Liability	1	16	http://christieyoung.com/james-a-young
Litigation	Product Liability	1	16	http://christieyoung.com/james-a-young
Litigation	Product Liability	1	1	http://christieyoung.com/john-d-frumer
Litigation	Product Liability	1	1	http://christieyoung.com/john-d-frumer
Litigation	Product Liability	1	1	http://christieyoung.com/richard-s-margulies
Litigation	Product Liability	1	1	http://christieyoung.com/richard-s-margulies
Litigation	Product Liability	1	1	http://christieyoung.com/richard-s-margulies
Litigation	Product Liability	1	1	http://christieyoung.com/richard-s-margulies
Litigation	Product Liability	1	4	http://christieyoung.com/timothy-j-campbell
